array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
255997_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29910;AT1G29920;AT1G29930	[AT1G29910, CAB3 (CHLOROPHYLL A/B BINDING PROTEIN 3); chlorophyll binding];[AT1G29920, CAB2 (CHLOROPHYLL A/B-BINDING PROTEIN 2); chlorophyll binding];[AT1G29930, CAB1 (CHLOROPHYLL A/B BINDING PROTEIN 1); chlorophyll binding]	[AT1G29910, 1];[AT1G29920, 1];[AT1G29930, 1]	[AT1G29910, 10472501];[AT1G29920, 10475147];[AT1G29930, 10478335]	[AT1G29910, 10472982];[AT1G29920, 10475628];[AT1G29930, 10478816]
255998_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29780	NLI interacting factor (NIF) family protein	1	10427057	10427609
255999_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29860	WRKY71; transcription factor	1	10454761	10455626
256000_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29880	glycyl-tRNA synthetase / glycine--tRNA ligase	1	10459697	10460255
256001_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29850	double-stranded DNA-binding family protein	1	10447866	10449472
256002_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29900	CARB (CARBAMOYL PHOSPHATE SYNTHETASE B); ATP binding / carbamoyl-phosphate synthase/ catalytic	1	10471401	10471975
256003_at	oligonucleotide	Arabidopsis thaliana	no	AT3G31430	unknown protein	3	12795862	12796437
256004_at	oligonucleotide	Arabidopsis thaliana	no	AT3G31460	transposable element gene	3	12814982	12815565
256005_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34080	transposable element gene	1	12403495	12404191
256006_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34070	unknown protein	1	12402611	12403193
256007_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34065	SAMC2 (S-adenosylmethionine carrier 2); binding	1	12399149	12400000
256008_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34040;AT1G34060	[AT1G34040, alliinase family protein];[AT1G34060, alliinase family protein]	[AT1G34040, 1];[AT1G34060, 1]	[AT1G34040, 12375451];[AT1G34060, 12396753]	[AT1G34040, 12375999];[AT1G34060, 12397283]
256009_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19210	AP2 domain-containing transcription factor, putative	1	6626992	6627458
256010_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19220	ARF19 (AUXIN RESPONSE FACTOR 19); DNA binding / transcription factor	1	6628405	6629146
256011_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19230	respiratory burst oxidase protein E (RbohE) / NADPH oxidase	1	6648092	6649136
256012_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19250	FMO1 (FLAVIN-DEPENDENT MONOOXYGENASE 1); FAD binding / NADP or NADPH binding / electron carrier/ flavin-containing monooxygenase/ monooxygenase/ oxidoreductase	1	6650685	6651298
256013_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19270	DA1 (DA 1); ubiquitin binding	1	6665014	6665793
256014_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19200	senescence-associated protein-related	1	6625105	6625780
256015_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19150	LHCA6; chlorophyll binding	1	6613053	6613794
256016_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19240	unknown protein	1	6649581	6650318
256017_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19180	JAZ1 (JASMONATE-ZIM-DOMAIN PROTEIN 1); protein binding	1	6622474	6623265
256018_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58300	ho4 (HEME OXYGENASE 4); heme oxygenase (decyclizing)/ oxidoreductase	1	21628017	21629695
256020_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58290	HEMA1; glutamyl-tRNA reductase	1	21624105	21624611
256021_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58270	ZW9	1	21612417	21613118
256022_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58360	AAP1 (AMINO ACID PERMEASE 1); amino acid transmembrane transporter/ neutral amino acid transmembrane transporter	1	21679629	21680229
256023_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58330	ZW2	1	21641326	21641791
256024_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58340	ZF14; antiporter/ drug transporter/ transporter	1	21654588	21655085
256025_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58370	RXF12; endo-1,4-beta-xylanase/ hydrolase, hydrolyzing O-glycosyl compounds	1	21687646	21688188
256026_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34170	transcription factor	1	12443580	12444643
256027_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34160	pentatricopeptide (PPR) repeat-containing protein	1	12442496	12443190
256028_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34140	PAB1 (POLY(A) BINDING PROTEIN 1); RNA binding / translation initiation factor	1	12433378	12434004
256029_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34130	STT3B (staurosporin and temperature sensitive 3-like b); oligosaccharyl transferase	1	12431742	12432941
256030_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34110	leucine-rich repeat transmembrane protein kinase, putative	1	12417251	12418610
256031_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34100	choline kinase, putative, similar to choline kinase (GmCK2p) GI:1438881 from (Glycine max); contains Pfam profile PF01633: Choline/ethanolamine kinase; could not find a suitable start codon; this may be a pseudogene, a transposon insertion is found immediately upstream.	1	12416342	12417134
256032_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34090	transposable element gene	1	12409210	12409744
256033_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07250	UGT71C4 (UDP-GLUCOSYL TRANSFERASE 71C4); quercetin 3-O-glucosyltransferase/ quercetin 7-O-glucosyltransferase/ transferase, transferring glycosyl groups	1	2226872	2227372
256034_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07080	gamma interferon responsive lysosomal thiol reductase family protein / GILT family protein	1	2170273	2171852
256035_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07140	SIRANBP; Ran GTPase binding	1	2192360	2193587
256036_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07110	F2KP (FRUCTOSE-2,6-BISPHOSPHATASE); fructose-2,6-bisphosphate 2-phosphatase	1	2178423	2180331
256037_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19160	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810), F-box associated type 3 (InterPro:IPR013187), F-box associated type 1 (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G52610.1); Has 1084 Blast hits to 1065 proteins in 39 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1084; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	1	6614186	6614696
256038_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19170	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein	1	6618199	6618873
256039_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19190	hydrolase	1	6624233	6624800
256040_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07270	cell division control protein CDC6b, putative (CDC6b)	1	2229789	2231329
256041_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07230	hydrolase, acting on ester bonds	1	2220558	2221770
256042_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07220	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Lipopolysaccharide-modifying protein (InterPro:IPR006598), Protein of unknown function DUF821, CAP10-like (InterPro:IPR008539); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23850.1); Has 456 Blast hits to 452 proteins in 94 species: Archae - 0; Bacteria - 34; Metazoa - 198; Fungi - 90; Plants - 113; Viruses - 2; Other Eukaryotes - 19 (source: NCBI BLink).	1	2217186	2217835
256043_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07210	30S ribosomal protein S18 family	1	2215597	2216562
256044_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07160	protein phosphatase 2C, putative / PP2C, putative	1	2198161	2198746
256045_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07150	MAPKKK13; ATP binding / kinase/ protein kinase/ protein serine/threonine kinase	1	2194291	2194802
256047_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07060	unknown protein	1	2167177	2168152
256048_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07025	mitochondrial substrate carrier family protein	1	2157760	2158061
256049_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07010	calcineurin-like phosphoesterase family protein	1	2154066	2154943
256050_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07000	ATEXO70B2 (exocyst subunit EXO70 family protein B2); protein binding	1	2150449	2150989
256051_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06970	CHX14 (CATION/HYDROGEN EXCHANGER 14); monovalent cation:proton antiporter/ sodium:hydrogen antiporter	1	2140220	2140766
256052_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06960	small nuclear ribonucleoprotein U2B, putative / spliceosomal protein, putative	1	2136471	2137515
256053_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07260	UGT71C3 (UDP-GLUCOSYL TRANSFERASE 71C3); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase, transferring glycosyl groups	1	2227757	2228336
256054_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07120	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: leaf whorl, petal, inflorescence meristem, flower; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: proline-rich family protein (TAIR:AT4G18570.1); Has 197 Blast hits to 171 proteins in 40 species: Archae - 0; Bacteria - 8; Metazoa - 25; Fungi - 11; Plants - 78; Viruses - 0; Other Eukaryotes - 75 (source: NCBI BLink).	1	2184948	2185761
256055_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07030	mitochondrial substrate carrier family protein	1	2158693	2160142
256056_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07190	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: LON1 (LON PROTEASE 1); ATP binding / ATP-dependent peptidase/ serine-type peptidase (TAIR:AT5G26860.1); Has 53 Blast hits to 53 proteins in 18 species: Archae - 0; Bacteria - 12; Metazoa - 0; Fungi - 8; Plants - 31; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).	1	2208015	2208156
256057_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07180	NDA1 (ALTERNATIVE NAD(P)H DEHYDROGENASE 1); NADH dehydrogenase	1	2205949	2206756
256058_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07240	UGT71C5 (UDP-GLUCOSYL TRANSFERASE 71C5); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase, transferring glycosyl groups	1	2224735	2225201
256059_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06990	GDSL-motif lipase/hydrolase family protein	1	2148878	2150009
256060_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07050	CONSTANS-like protein-related	1	2164503	2165090
256061_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07040	unknown protein	1	2161233	2162214
256062_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07090	LSH6 (LIGHT SENSITIVE HYPOCOTYLS 6)	1	2174234	2174789
256063_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07130	STN1; nucleic acid binding	1	2187947	2188359
256064_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07020	unknown protein	1	2155368	2155751
256065_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07070	60S ribosomal protein L35a (RPL35aA)	1	2168673	2169690
256066_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06980	unknown protein	1	2143260	2143747
256067_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07170	LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: PHF5-like (InterPro:IPR005345); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30000.1); Has 292 Blast hits to 292 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 110; Fungi - 75; Plants - 47; Viruses - 0; Other Eukaryotes - 60 (source: NCBI BLink).	1	2200686	2200987
256068_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13690	ATE1; nucleic acid binding / nucleotide binding	1	4693601	4694179
256069_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13740	AFP2 (ABI FIVE BINDING PROTEIN 2)	1	4714469	4715147
256070_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13730	nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein	1	4711396	4712231
256071_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13640	phosphatidylinositol 3- and 4-kinase family protein	1	4677337	4677715
256072_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18080	ATARCA; nucleotide binding	1	6222788	6223196
256073_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18100	E12A11; phosphatidylethanolamine binding	1	6228052	6230060
256074_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18260	suppressor of lin-12-like protein-related / sel-1 protein-related	1	6279066	6279868
256075_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18150	ATMPK8; MAP kinase	1	6244837	6245627
256076_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18060	unknown protein	1	6212082	6213217
256077_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18090	exonuclease, putative	1	6227217	6227714
256078_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20670	DNA-binding bromodomain-containing protein	1	7164540	7165127
256079_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20680	unknown protein	1	7170314	7173313
256080_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20690	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: 9 growth stages; BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT1G20940.1); Has 30 Blast hits to 28 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	1	7175229	7175790
256081_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20700	WOX14 (WUSCHEL RELATED HOMEOBOX 14); DNA binding / transcription factor	1	7182665	7183727
256082_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20720	ATP binding / ATP-dependent DNA helicase/ ATP-dependent helicase/ DNA binding / hydrolase, acting on acid anhydrides, in phosphorus-containing anhydrides / nucleic acid binding	1	7185812	7186856
256083_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20730	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF833 (InterPro:IPR008551), F-box associated type 1 (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G20740.1); Has 303 Blast hits to 300 proteins in 118 species: Archae - 0; Bacteria - 180; Metazoa - 8; Fungi - 0; Plants - 63; Viruses - 2; Other Eukaryotes - 50 (source: NCBI BLink).	1	7198100	7198666
256084_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20750	helicase-related	1	7203305	7204068
256085_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20760	calcium-binding EF hand family protein	1	7214297	7214743
256086_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20770	unknown protein	1	7215354	7216193
256087_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20800	F-box family protein	1	7228718	7229204
256088_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20810	immunophilin / FKBP-type peptidyl-prolyl cis-trans isomerase family protein	1	7232169	7233315
256089_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20830	unknown protein	1	7243888	7244719
256091_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20693	HMGB2 (HIGH MOBILITY GROUP B 2); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor	1	7177317	7178146
256092_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20696	HMGB3 (HIGH MOBILITY GROUP B 3); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor	1	7179850	7180715
256093_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20823	zinc finger (C3HC4-type RING finger) family protein	1	7238923	7239418
256094_at	oligonucleotide	Arabidopsis thaliana	no	AT1G20780	SAUL1 (SENESCENCE-ASSOCIATED E3 UBIQUITIN LIGASE 1); ubiquitin-protein ligase	1	7218460	7219314
256095_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13630	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT3G22470.1); Has 23967 Blast hits to 5877 proteins in 185 species: Archae - 3; Bacteria - 26; Metazoa - 708; Fungi - 595; Plants - 21695; Viruses - 0; Other Eukaryotes - 940 (source: NCBI BLink).	1	4670331	4670852
256096_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13650	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 6 growth stages; BEST Arabidopsis thaliana protein match is: 18S pre-ribosomal assembly protein gar2-related (TAIR:AT2G03810.4); Has 3725 Blast hits to 1574 proteins in 203 species: Archae - 2; Bacteria - 168; Metazoa - 816; Fungi - 289; Plants - 39; Viruses - 14; Other Eukaryotes - 2397 (source: NCBI BLink).	1	4680572	4681242
256097_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13670	unknown protein	1	4688283	4688663
256098_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13700	glucosamine/galactosamine-6-phosphate isomerase family protein	1	4694538	4694868
256099_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13710	CYP78A5; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	1	4702992	4703417
256100_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13750	calcineurin-like phosphoesterase family protein	1	4715492	4716042
256102_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13680	phospholipase C/ phosphoric diester hydrolase	1	4691950	4692685
256103_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13540	unknown protein	1	4635486	4636035
256104_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16980	ATTPS2; alpha,alpha-trehalose-phosphate synthase (UDP-forming)/ transferase, transferring glycosyl groups	1	5810607	5811486
256105_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16910	LSH8 (LIGHT SENSITIVE HYPOCOTYLS 8)	1	5785407	5785841
256106_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16870	mitochondrial 28S ribosomal protein S29-related	1	5770976	5771900
256107_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16830	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: MEE40 (maternal effect embryo arrest 40) (TAIR:AT3G53700.1); Has 16848 Blast hits to 5324 proteins in 149 species: Archae - 2; Bacteria - 6; Metazoa - 176; Fungi - 119; Plants - 16112; Viruses - 0; Other Eukaryotes - 433 (source: NCBI BLink).	1	5762064	5762528
256108_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16940	F-box family protein	1	5792770	5793491
256109_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16950	unknown protein	1	5796136	5796345
256110_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16900	sugar binding / transferase, transferring glycosyl groups	1	5779309	5780124
256111_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16820	vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related	1	5757209	5758385
256112_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16920	ATRABA1B (ARABIDOPSIS RAB GTPASE HOMOLOG A1B); GTP binding	1	5787489	5789072
256113_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16810	unknown protein	1	5756152	5756692
256114_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16850	unknown protein	1	5765072	5765576
256115_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16880	uridylyltransferase-related	1	5774572	5776116
256116_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16858;AT1G16860	[AT1G16858, CPuORF55 (Conserved peptide upstream open reading frame 55)];[AT1G16860, merozoite surface protein-related]	[AT1G16858, 1];[AT1G16860, 1]	[AT1G16858, 5769445];[AT1G16860, 5769445]	[AT1G16858, 5770180];[AT1G16860, 5770180]
256117_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16840	unknown protein	1	5763129	5763894
256118_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16970	KU70 (ARABIDOPSIS THALIANA KU70 HOMOLOG); double-stranded DNA binding / protein binding	1	5801168	5801971
256119_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18070	EF-1-alpha-related GTP-binding protein, putative	1	6214247	6215285
256120_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18130	tRNA synthetase-related / tRNA ligase-related	1	6235918	6238799
256121_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18160	protein kinase family protein	1	6252743	6253822
256122_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18180	oxidoreductase, acting on the CH-CH group of donors	1	6256638	6257580
256123_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18190	GC2 (golgin candidate 2)	1	6258084	6258595
256124_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18220	ATPUP9; purine transmembrane transporter	1	6269670	6269805
256125_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18250	ATLP-1	1	6277062	6277693
256126_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18050	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein	1	6209832	6211282
256128_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18140	LAC1 (Laccase 1); laccase	1	6238986	6239585
256129_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18210	calcium-binding protein, putative	1	6268360	6268693
256130_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18170	immunophilin / FKBP-type peptidyl-prolyl cis-trans isomerase family protein	1	6254438	6255505
256131_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13600	AtbZIP58 (Arabidopsis thaliana basic leucine-zipper 58); DNA binding / protein heterodimerization/ protein homodimerization/ transcription factor	1	4650789	4651296
256132_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13610	INVOLVED IN: biological_process unknown; EXPRESSED IN: cotyledon, hypocotyl, root; CONTAINS InterPro DOMAIN/s: Alpha/beta hydrolase fold-1 (InterPro:IPR000073); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G30380.2); Has 3358 Blast hits to 3354 proteins in 579 species: Archae - 6; Bacteria - 974; Metazoa - 587; Fungi - 165; Plants - 174; Viruses - 11; Other Eukaryotes - 1441 (source: NCBI BLink).	1	4664044	4664885
256133_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13570	F-box family protein	1	4642563	4643198
256134_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13560	AAPT1 (AMINOALCOHOLPHOSPHOTRANSFERASE 1); phosphatidyltransferase/ phosphotransferase, for other substituted phosphate groups	1	4638946	4640281
256135_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48730	unknown protein	1	18020358	18022277
256136_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48720;AT3G59720;AT1G11265;AT5G13205;AT1G21945;AT1G58140;AT1G48710;AT3G61330	[AT1G48720, unknown protein];[AT3G59720, transposable element gene];[AT1G11265, transposable element gene];[AT5G13205, transposable element gene];[AT1G21945, transposable element gene];[AT1G58140, transposable element gene];[AT1G48710, transposable element gene];[AT3G61330, transposable element gene]	[AT1G48720, 1];[AT3G59720, 3];[AT1G11265, 1];[AT5G13205, 5];[AT1G21945, 1];[AT1G58140, 1];[AT1G48710, 1];[AT3G61330, 3]	[AT1G48720, 18018183];[AT3G59720, 22060040];[AT1G11265, 3781270];[AT5G13205, 4212439];[AT1G21945, 7717861];[AT1G58140, 21529232];[AT1G48710, 18013667];[AT3G61330, 22699899]	[AT1G48720, 18018300];[AT3G59720, 22060157];[AT1G11265, 3781387];[AT5G13205, 4212556];[AT1G21945, 7717978];[AT1G58140, 21529349];[AT1G48710, 18013784];[AT3G61330, 22700016]
256137_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48690	auxin-responsive GH3 family protein	1	18009143	18009771
256138_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48670	auxin-responsive GH3 family protein	1	17998957	17999375
256139_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48660	auxin-responsive GH3 family protein	1	17995961	17996458
256140_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48650	helicase domain-containing protein	1	17989723	17990064
256141_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48640	lysine and histidine specific transporter, putative	1	17987810	17988733
256142_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48790	mov34 family protein	1	18044022	18045308
256143_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48830	40S ribosomal protein S7 (RPS7A)	1	18059856	18060729
256144_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48630	RACK1B_AT (RECEPTOR FOR ACTIVATED C KINASE 1 B); nucleotide binding	1	17982061	17982718
256145_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48750	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	1	18036028	18036291
256146_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48760	delta-ADR (delta-adaptin); binding / clathrin binding / protein binding / protein transporter	1	18036874	18037212
256147_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55080	unknown protein	1	20553479	20553925
256148_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55090	carbon-nitrogen hydrolase family protein	1	20557424	20558180
256149_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55110	AtIDD7 (Arabidopsis thaliana Indeterminate(ID)-Domain 7); nucleic acid binding / transcription factor/ zinc ion binding	1	20560446	20560988
256150_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55120	ATFRUCT5 (BETA-FRUCTOFURANOSIDASE 5); hydrolase, hydrolyzing O-glycosyl compounds / levanase	1	20568390	20569164
256151_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55130	endomembrane protein 70, putative	1	20571678	20572223
256152_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55150	DEAD box RNA helicase, putative (RH20)	1	20576268	20576963
256153_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55060	UBQ12 (UBIQUITIN 12); protein binding	1	20549698	20550159
256154_at	oligonucleotide	Arabidopsis thaliana	no	AT3G08490	unknown protein	3	2574162	2574898
